Traffic_Intensity,Lambda,Generated,Delivered,Dropped,Drop_Probability,Avg_Queueing_Delay,Avg_E2E_Delay,Max_Queue_Occupancy
0.10,125.0000,100000,100000,0,0.000000,0.000056,0.003756,6
0.20,250.0000,100000,100000,0,0.000000,0.000128,0.003828,7
0.30,375.0000,100000,100000,0,0.000000,0.000226,0.003926,8
0.40,500.0000,100000,100000,0,0.000000,0.000365,0.004065,9
0.50,625.0000,100000,100000,0,0.000000,0.000574,0.004274,12
0.60,750.0000,100000,100000,0,0.000000,0.000924,0.004624,17
0.70,875.0000,100000,100000,0,0.000000,0.001624,0.005324,26
0.80,1000.0000,100000,100000,0,0.000000,0.003861,0.007561,39
0.90,1125.0000,100000,98586,1414,0.014140,0.023929,0.027629,50
0.95,1187.5000,100000,94038,5962,0.059620,0.036839,0.040539,50
1.00,1250.0000,100000,89367,10633,0.106330,0.040156,0.043856,50
1.10,1375.0000,100000,81249,18751,0.187510,0.041953,0.045653,50
1.20,1500.0000,100000,74483,25517,0.255170,0.042610,0.046310,50
